wall_time,seq,ts_ms,ax,ay,az,gx,gy,gz,ppg,dropped_before
1773798629.5072331,0,2080,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773798629.517463,1,2089,0.0,0.0,0.0,0.0,0.0,0.0,5559,0
1773798629.5274608,2,2099,0.0,0.0,0.0,0.0,0.0,0.0,4054,0
1773798629.5375934,3,2109,0.0,0.0,0.0,0.0,0.0,0.0,4434,0
1773798629.5475876,4,2119,0.0,0.0,0.0,0.0,0.0,0.0,5739,0
1773798629.557521,5,2129,0.0,0.0,0.0,0.0,0.0,0.0,4129,0
1773798629.56742,6,2139,0.0,0.0,0.0,0.0,0.0,0.0,4183,0
1773798629.577555,7,2149,0.0,0.0,0.0,0.0,0.0,0.0,5626,0
1773798629.5875206,8,2159,0.0,0.0,0.0,0.0,0.0,0.0,4764,0
1773798629.5977354,9,2169,0.0,0.0,0.0,0.0,0.0,0.0,3917,0
1773798629.60768,10,2179,0.0,0.0,0.0,0.0,0.0,0.0,5034,0
1773798629.6175265,11,2189,0.0,0.0,0.0,0.0,0.0,0.0,4502,0
1773798629.6274319,12,2199,0.0,0.0,0.0,0.0,0.0,0.0,4674,0
1773798629.6375973,13,2209,0.0,0.0,0.0,0.0,0.0,0.0,5122,0
1773798629.6475315,14,2219,0.0,0.0,0.0,0.0,0.0,0.0,4016,0
1773798629.657741,15,2229,0.0,0.0,0.0,0.0,0.0,0.0,5069,0
1773798629.6676018,16,2239,0.0,0.0,0.0,0.0,0.0,0.0,4419,0
1773798629.6776161,17,2249,0.0,0.0,0.0,0.0,0.0,0.0,4097,0
1773798629.6875098,18,2259,0.0,0.0,0.0,0.0,0.0,0.0,5978,0
1773798629.6976573,19,2269,0.0,0.0,0.0,0.0,0.0,0.0,4043,0
1773798629.7074938,20,2279,0.0,0.0,0.0,0.0,0.0,0.0,4299,0
1773798629.7176208,21,2289,0.0,0.0,0.0,0.0,0.0,0.0,5518,0
1773798629.72758,22,2299,0.0,0.0,0.0,0.0,0.0,0.0,3811,0
1773798629.7375247,23,2309,0.0,0.0,0.0,0.0,0.0,0.0,5345,0
1773798629.7475638,24,2319,0.0,0.0,0.0,0.0,0.0,0.0,4572,0
1773798629.757727,25,2329,0.0,0.0,0.0,0.0,0.0,0.0,3773,0
1773798629.767694,26,2339,0.0,0.0,0.0,0.0,0.0,0.0,5812,0
1773798629.777629,27,2349,0.0,0.0,0.0,0.0,0.0,0.0,3736,0
1773798629.7875178,28,2359,0.0,0.0,0.0,0.0,0.0,0.0,4558,0
1773798629.7976563,29,2369,0.0,0.0,0.0,0.0,0.0,0.0,5714,0
1773798629.8075473,30,2379,0.0,0.0,0.0,0.0,0.0,0.0,3778,0
1773798629.817487,31,2389,0.0,0.0,0.0,0.0,0.0,0.0,4739,0
1773798629.8276205,32,2399,0.0,0.0,0.0,0.0,0.0,0.0,5418,0
1773798629.8376358,33,2409,0.0,0.0,0.0,0.0,0.0,0.0,4559,0
1773798629.8475368,34,2419,0.0,0.0,0.0,0.0,0.0,0.0,4032,0
1773798629.857529,35,2429,0.0,0.0,0.0,0.0,0.0,0.0,5354,0
1773798629.8675747,36,2439,0.0,0.0,0.0,0.0,0.0,0.0,4282,0
1773798629.877669,37,2449,0.0,0.0,0.0,0.0,0.0,0.0,4409,0
1773798629.8875973,38,2459,0.0,0.0,0.0,0.0,0.0,0.0,5312,0
1773798629.8975184,39,2469,0.0,0.0,0.0,0.0,0.0,0.0,3825,0
1773798629.9078236,40,2479,0.0,0.0,0.0,0.0,0.0,0.0,5391,0
1773798629.9176934,41,2489,0.0,0.0,0.0,0.0,0.0,0.0,4625,0
1773798629.9275043,42,2499,0.0,0.0,0.0,0.0,0.0,0.0,4001,0
1773798629.937695,43,2509,0.0,0.0,0.0,0.0,0.0,0.0,5827,0
1773798629.9476974,44,2519,0.0,0.0,0.0,0.0,0.0,0.0,4275,0
1773798629.9575698,45,2529,0.0,0.0,0.0,0.0,0.0,0.0,4161,0
1773798629.967531,46,2539,0.0,0.0,0.0,0.0,0.0,0.0,5387,0
1773798629.9777312,47,2549,0.0,0.0,0.0,0.0,0.0,0.0,4510,0
1773798629.987423,48,2559,0.0,0.0,0.0,0.0,0.0,0.0,4721,0
1773798629.9975781,49,2569,0.0,0.0,0.0,0.0,0.0,0.0,4581,0
1773798630.007518,50,2579,0.0,0.0,0.0,0.0,0.0,0.0,4546,0
1773798630.0174904,51,2589,0.0,0.0,0.0,0.0,0.0,0.0,5090,0
1773798630.0274704,52,2599,0.0,0.0,0.0,0.0,0.0,0.0,3990,0
1773798630.0374706,53,2609,0.0,0.0,0.0,0.0,0.0,0.0,4883,0
1773798630.0474691,54,2619,0.0,0.0,0.0,0.0,0.0,0.0,5459,0
1773798630.0576336,55,2629,0.0,0.0,0.0,0.0,0.0,0.0,3870,0
1773798630.0675483,56,2639,0.0,0.0,0.0,0.0,0.0,0.0,4870,0
1773798630.0775259,57,2649,0.0,0.0,0.0,0.0,0.0,0.0,5313,0
1773798630.0875137,58,2659,0.0,0.0,0.0,0.0,0.0,0.0,4272,0
1773798630.0974846,59,2669,0.0,0.0,0.0,0.0,0.0,0.0,4741,0
1773798630.107542,60,2679,0.0,0.0,0.0,0.0,0.0,0.0,4810,0
1773798630.1174998,61,2689,0.0,0.0,0.0,0.0,0.0,0.0,4184,0
