wall_time,seq,ts_ms,ax,ay,az,gx,gy,gz,ppg,dropped_before
1773933061.5718446,0,2079,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773933061.5819337,1,2089,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773933061.5919406,2,2099,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773933061.602375,3,2110,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773933061.6118214,4,2119,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773933061.6219213,5,2129,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773933061.6318753,6,2139,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1773933061.6423433,7,2149,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933061.6522622,8,2159,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933061.6621408,9,2169,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933061.67214,10,2179,0.0,0.0,0.0,0.0,0.0,0.0,154,0
1773933061.6825902,11,2189,0.0,0.0,0.0,0.0,0.0,0.0,150,0
1773933061.6921244,12,2199,0.0,0.0,0.0,0.0,0.0,0.0,150,0
1773933061.7021418,13,2209,0.0,0.0,0.0,0.0,0.0,0.0,150,0
1773933061.712111,14,2219,0.0,0.0,0.0,0.0,0.0,0.0,150,0
1773933061.722405,15,2229,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933061.732146,16,2239,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933061.7423043,17,2249,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933061.7522626,18,2259,0.0,0.0,0.0,0.0,0.0,0.0,148,0
1773933061.7624233,19,2269,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.7721272,20,2279,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.7820997,21,2289,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.7921112,22,2299,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.8025725,23,2309,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.812104,24,2319,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.8221183,25,2329,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.8320975,26,2339,0.0,0.0,0.0,0.0,0.0,0.0,149,0
1773933061.8424191,27,2349,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933061.8521037,28,2359,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933061.8626423,29,2369,0.0,0.0,0.0,0.0,0.0,0.0,144,0
1773933061.8720467,30,2379,0.0,0.0,0.0,0.0,0.0,0.0,144,0
